"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"SP1"	1423.32979898425	0.687090040460623	0.198835248058652	3.4555746386473	0.000549121134986591	0.00210617000596853
"SP2"	30.8383970928572	1.59176548577158	0.40107153183977	3.96878202367028	7.22409246338395e-05	0.000341076562104143
"SP4"	926.018401392144	0.576798297307775	0.252980022500992	2.28001520280327	0.0226067868270931	0.0542879299761837
"SP5"	0.348469293430532	-0.216587142715705	0.577752900187156	-0.374878503674398	0.707750826767892	NA
"SP6"	0.435428578502579	0.579823285157261	0.538441369851279	1.07685500710581	0.28154504634327	0.417515790286486
"SP7"	1.66231489860654	0.294471964279498	0.80525100733683	0.365689656512684	0.714596665239462	0.814937063456469
"OPA3"	22.7608447861559	2.06279779311767	0.466721046636941	4.41976595652071	9.88078525086572e-06	5.67790578291375e-05
"RAB40C"	4.19172643171259	1.04269192585838	0.748074564538412	1.39383421825303	0.163367672457677	0.275377890488915
"RAB40B"	3.26359097947116	-0.612708152715086	0.805737931937506	-0.760431063784904	0.446996960944499	0.591155788128665
"FAM162B"	0.458160123541819	-0.312907722961349	0.647205740530679	-0.483474888070027	0.628758586010402	0.750076048471311
"COL7A1"	3.03729819517832	2.62035248530433	0.791077541450975	3.31238386631244	0.000925045232578737	0.00335263470185459
"GTSE1"	9.81072973415538	1.83104034795831	0.661306266238194	2.76882352616147	0.00562590987531333	0.01632550349804
"ARFRP1"	66.302663195718	1.0257147516894	0.271713312403863	3.77498894925261	0.000160014756941776	0.000698510579144293
"OVCH1"	1.36835145683028	0.191006014497427	0.785168652288147	0.243267499206438	0.807798180103004	0.879769316983639
"SPPL2B"	9.63560796454646	0.353462757304902	0.686528829082382	0.514854937377273	0.606654392218059	0.73170165709655
"NSL1"	440.498839661239	-0.947188099918975	0.221318139003653	-4.27975810831908	1.87096547140604e-05	0.000100820169653781
"ITGA9"	105.557319119873	3.41435976517535	0.568347056931943	6.00752607677215	1.88375516455967e-09	2.33236077591357e-08
"UGCG"	684.777307929969	1.39285568803125	0.373998849046888	3.72422453058573	0.000195916504275387	0.000838843927396578
"ATP2A3"	570.77638723753	0.223671610783836	0.527600170142209	0.423941506166588	0.671608472976505	0.782204781898272
"ITGA1"	685.727189496296	-1.5056406200501	0.34009717067238	-4.42708951995517	9.55131000094489e-06	5.52492393070912e-05
"ITGA2"	1292.03411199393	-1.47959152690522	0.4439559800302	-3.33274377068774	0.000859940994535466	0.00314275887238371
"ITGA3"	0.987257308690848	0.367450865887961	0.77040038967452	0.47696090346372	0.633389962014462	0.752792948998828
"ITGA4"	9038.07618789189	-3.47788726798714	0.340406276585215	-10.2168717418361	1.6663167453808e-24	2.43043960163851e-22
"RIT2"	0.143499746368618	0.109748971072726	0.348083049118722	0.315295362272277	0.752537405937783	NA
"RIT1"	543.276626312596	2.26763159170357	0.227173285954532	9.98194652234518	1.82844055248565e-23	2.34235424377095e-21
"DENND4B"	315.518161847035	1.07008141737279	0.29275096727381	3.6552617651027	0.000256919695838262	0.00106814558096669
"SWAP70"	1389.93425621656	-0.521402130407564	0.371451236276801	-1.40368931231399	0.160411386414866	0.271200528008805
"PREB"	127.903522690212	-1.28819770289857	0.379251909096753	-3.39668086567213	0.000682084646964884	0.00255296816830487
"UFSP1"	4.67647443275701	-0.904061909342393	0.715950908554121	-1.26274287599993	0.206681599861122	0.330415442839544
"PHLDA3"	0.462449120469371	0	0.638444727056859	0	1	1
"C3H7orf61"	8.69167540654465	1.74695958420531	0.647178320503227	2.69934812224075	0.00694754591987212	0.0195927075575922
"GAP43"	0.267873809036637	0.486498668027419	0.557701644337968	0.872327835082731	0.383029556716064	NA
"PAMR1"	1.01863431940788	0.999878940318599	0.685108624013785	1.45944585321478	0.144442433416189	0.249874486903627
"FBXL13"	25.6867265737522	-1.42452989256972	0.551958998707674	-2.58086179572221	0.00985540274547359	0.0265141624515511
"FBXL15"	2.83412357032628	-0.293971837168419	0.734394392160023	-0.400291505908399	0.688941823455939	0.795404114367299
"FBXL17"	734.584026211714	-0.862079612027095	0.18422933550539	-4.67938295311213	2.87739565586678e-06	1.86797415280865e-05
"HRH1"	24.756813736163	-1.63139853025297	0.55453588277465	-2.9419169812604	0.00326187361097418	0.0101852719058303
"FAM169A"	10.0773259392087	-1.06234490510198	0.621545650366842	-1.70919851900658	0.0874141831170323	0.167572919271438
"FBXL18"	13.7839017699156	1.72079395423161	0.517185265041651	3.32722927458698	0.000877141725291108	0.00319846052267955
"GHDC"	22.4647356763659	1.17260276167649	0.559001445353633	2.09767393523407	0.0359339588918858	0.0804411642668311
"SDK1"	5.09347604440943	1.69255711871763	0.746959267670058	2.26592960550193	0.023455693624489	0.0559767273581943
"SDK2"	2.99202652503031	-0.658926347509598	0.788119902500818	-0.836073731190812	0.40311342536381	0.547359212958662
"GRP"	0.156873637540634	0	0.339687135741598	0	1	NA
"TPRN"	7.93969789442449	1.070362027513	0.65749175537448	1.62794745145263	0.103536028607371	0.192226891373839
"THSD4"	2.06648851070563	-0.291827213776626	0.804730206193611	-0.362639815842099	0.716873963310691	0.81648397032436
"FAM212B"	4.73517067893388	0.362414557796898	0.759077404791152	0.477440845306956	0.633048234649961	0.752577015406685
